VideoID,CommentID,TextContent,SentimentScore,Likes,Shares,Views,Timestamp,UserID,UserAge,UserLocation,UserPoliticalAffiliation
V001,C001,"More facts, less opinions, please.",-0.87,12,17,971860,3/2/2025 14:35,U573,65,India,Supporter
V009,C002,Where are the policies?,-0.7,94,36,8937,2/28/2025 19:24,U388,34,Australia,Neutral
V008,C003,Great speech! Very inspiring.,0.58,315,4,808460,3/1/2025 18:29,U675,56,Germany,Neutral
V006,C004,This is very misleading.,-0.31,2,34,14815,3/1/2025 7:10,U903,54,USA,Opposed
V006,C005,Biased media coverage.,0.67,477,0,678386,3/3/2025 22:06,U572,38,USA,Neutral
V005,C006,Biased media coverage.,0.3,354,12,371158,2/28/2025 15:06,U754,34,Canada,Opposed
V005,C007,Strong leadership!,-0.6,336,8,410727,3/2/2025 23:21,U871,44,USA,Neutral
V007,C008,"Fake news, don't believe this.",0.09,103,16,464859,3/2/2025 7:04,U402,60,Canada,Opposed
V010,C009,I need more information before deciding.,0.13,126,41,616559,3/1/2025 23:11,U883,24,Canada,Opposed
V005,C010,Biased media coverage.,0.37,407,49,611386,3/4/2025 6:47,U363,61,Germany,Opposed
V003,C011,Excellent vision for the future.,0.74,0,10,220381,3/5/2025 22:34,U958,20,UK,Neutral
V002,C012,"Fake news, don't believe this.",-0.04,177,10,984167,3/3/2025 2:01,U983,41,Canada,Neutral
V007,C013,This candidate is a joke.,0.29,234,32,327427,3/5/2025 4:56,U584,26,USA,Neutral
V007,C014,Love this message!,0.34,338,5,864834,3/2/2025 13:05,U280,43,Germany,Neutral
V003,C015,This debate was interesting.,0.66,110,3,4143,3/2/2025 5:06,U763,42,Australia,Neutral
V009,C016,This is very misleading.,-0.81,440,20,507793,3/5/2025 22:26,U938,32,Australia,Supporter
V002,C017,Not convinced yet.,-0.05,46,33,40574,2/28/2025 7:04,U534,21,India,Neutral
V002,C018,Best campaign ever!,0.2,170,14,845171,3/1/2025 13:13,U866,22,Australia,Opposed
V002,C019,This debate was interesting.,-0.48,398,10,661051,2/27/2025 20:39,U179,63,Australia,Opposed
V010,C020,This candidate is a joke.,0.07,82,23,723563,3/3/2025 21:57,U937,31,Canada,Supporter
V007,C021,This person is not fit to lead.,-0.28,212,1,700674,3/2/2025 23:40,U653,39,Germany,Neutral
V004,C022,Where are the policies?,0.86,21,28,440463,3/2/2025 7:05,U591,46,Germany,Opposed
V004,C023,Well articulated points!,-0.4,288,25,630454,2/28/2025 16:40,U984,19,India,Supporter
V009,C024,"Fake news, don't believe this.",-0.92,73,31,105297,3/3/2025 17:30,U665,60,USA,Opposed
V008,C025,This debate was interesting.,0.83,2,2,736020,3/2/2025 17:36,U105,23,UK,Supporter
V001,C026,Would like to see more engagement.,0.25,50,1,633373,3/4/2025 2:57,U397,60,Germany,Opposed
V008,C027,Best campaign ever!,0.31,18,3,1571,2/27/2025 17:45,U918,31,India,Neutral
V001,C028,Strong leadership!,0.3,281,25,192300,2/28/2025 15:23,U846,54,India,Supporter
V004,C029,Best campaign ever!,-0.99,459,50,139664,3/2/2025 8:17,U649,60,USA,Neutral
V008,C030,I need more information before deciding.,-0.71,480,41,893963,3/1/2025 17:56,U724,44,Australia,Opposed
V004,C031,Would like to see more engagement.,0.62,295,27,682940,3/4/2025 17:28,U630,30,USA,Opposed
V006,C032,This debate was interesting.,-0.72,485,27,367655,3/3/2025 19:55,U990,40,Australia,Neutral
V002,C033,Not convinced yet.,0.45,311,42,829207,3/6/2025 5:28,U951,23,Australia,Opposed
V006,C034,Biased media coverage.,0.88,330,20,974247,3/4/2025 10:58,U348,22,Canada,Supporter
V005,C035,I have concerns about this.,-0.57,476,33,545705,3/3/2025 5:15,U732,50,Germany,Supporter
V001,C036,I support this wholeheartedly.,0.71,69,2,602889,3/3/2025 20:55,U741,51,Australia,Opposed
V006,C037,Disappointed in this stance.,0.95,102,15,326199,2/28/2025 11:26,U358,20,USA,Opposed
V006,C038,I disagree with everything.,-0.71,57,41,622907,3/4/2025 12:36,U775,57,Germany,Supporter
V003,C039,This is very misleading.,0.35,169,43,490703,2/27/2025 16:32,U777,23,UK,Opposed
V002,C040,Very promising ideas.,-0.46,335,39,207332,3/2/2025 6:00,U603,25,UK,Neutral
V009,C041,Great speech! Very inspiring.,-0.86,272,41,663823,3/5/2025 23:55,U331,42,India,Supporter
V008,C042,Great speech! Very inspiring.,-0.36,134,15,740287,3/2/2025 0:51,U575,46,Canada,Opposed
V004,C043,Stop spreading misinformation.,-0.1,347,34,759519,2/28/2025 19:32,U982,20,USA,Supporter
V001,C044,Would like to see more engagement.,0.38,169,9,253845,3/5/2025 6:11,U605,25,Australia,Opposed
V006,C045,This candidate is a joke.,-0.42,296,4,348474,2/28/2025 14:05,U482,19,India,Neutral
